Location;Operator
Near Flagstaff, Arizona;Military - U.S. Air Force
Lake Chad, Chad;Union Aeromaritime de Transport
Near Summit, Alaska;Military - U.S. Air Force
Near Seoul, South Korea;Military - U.S. Air Force
Near Anchorage, Alaska;Military - U.S. Air Force
Shepard, Montana;Military - U.S. Air Force
Mount Gannett, Alaska;Military - U.S. Air Force
Near Tacoma, Washington;Military - U.S. Air Force
Near Sofia, Bugaria;TABSO
Off Bermuda-Kindley Field, Bermuda;Cubana de Aviacion
Moses Lake, Washington;Military - U.S. Air Force
Off Miami, Florida;Rutas Aéreas Nacionales SA
Off Caracas, Venezuela;Avensa
Tehran, Iran;Iran Air
Chinmen Island, Taiwan;Philippine Air Lines
Belfast, Northern Ireland;British European Airways
Pin-la-Garenne, France;Avia-Taxi
Fish Haven, Idaho;Associated Air Transport
25 nm off Agrigento, Italy;Military -Royal Air Force
Sinnai, Sardinia, Italy;Linee Aeree Italiane
Off Newfoundland, Canada;Lancashire Aircraft Corporation (Skyways)
Muong Sai, Laos;Air Outremer
Eysines, France;Autrex
Cairo, Egypt;Military - Egyptian Air Force
Off Mobile, Alabama;National Airlines
Karachi, Pakistan;Canadian PacifiAir Lines
Windsor Locks, Connecticut;Slick Airways
Kalasahar, India;Orient Airways
Off Da Nang, Vietnam;Aigle Azur
Random Island, Newfoundland;Military - U.S. Air Force
Alvarado, California;Transocean Air Lines
Itapebi, Brazil;Transportes Aéreos Salvador
Mtara, Tanganyika;Central African Airways
Off Kingston, Jamaica;Caribbean International Airways
Miandivazo, Madagascar;Air France
Near Guwahati, India;Airways
Selleck, Washington;Miami Airlines
NW of Hanoi, Vietnam;Aigle Azur
San Francisco Bay, California;Western Airlines
Near Jalalogori, West Bengal, India;British Overseas Airways
Off Hartland Point, England;Military - Royal Air Force
New Delhi, India;Air India
Prince Rupert, BC, Canada;Canadian PacifiAir Lines
Near Marshall, Texas;Delta Air Lines
Amsterdam, Netherlands;KLM Royal Dutch Airlines
Near Copiapo, Chile;LAN
San Ramon Mtns., Costa Rica;LACSA
Phou-Lassy, French Indo-China;Aigle Azur
Sao Paulo, Brazil;Panair do Brasil
Tachikawa AFB, Tokyo, Japan;Military - U.S. Air Force
PacifiOcean, 325 miles east of Wake Island;Transocean Air Lines
Near Milton, Florida;Military - U.S. Navy
Near Kanggye, North Korea;Aeroflot
Yellowknife, Northwest Territory, Canada;Associated Airways
Off Fethiye Point, Turkey;Air France
Sharjah, United Arab Emirates;Orient Airways
Off Irish coast;Military - U.S. Air Force
Near San Diego, California;Aerovias Contreras
Near Barcelonnette, France;Air France
Vail, Washington;Regina Cargo Airlines
San Andres, Honduras;TACA
Chablekal, Mexico;Transportes Aéreos Mexicanos
Albany, New York;American Airlines
Ankara, Turkey;Devlet Hava Yollari
Louisville, Kentucky;Resort Airlines
Frankfurt, Germany;Sabena
Lai Chau, Vietnam;Compagnie Sila
Near Monterrey, Mexico;Aerovias Contreras
New York City, New York;Eastern Air Lines
Near Half Moon Bay, California;British Commonwealth PacifiAirlines
Potosi, Bolivia;Lloyd Aereo Boliviano
Off Argyll, England;Military - Royal Air Force
Mt. Somosierra, Spain;Aviaco
Nagpur, India;Indian Airlines
Zurich, Switzerland;Sabena
Dah-el-Kadeeb, Syria;Syrian Airways
Herat, Afghanstan;Ariana Afghan Airlines
Lapseki, Turkey;Devlet Hava Yollari
Near Aldbury, England;Military -Royal Air Force
Off Elba, Italy;British Overseas Airways
Manizales, Colombia;AVIANCA
Long Beach, California;Military - U.S. Air Force
Rome, Italy;Philippine Air Lines
Prague, Czechoslovakia;Ceskoslovenske Aerolinie
Kansas City, Missouri;Zantop Air Transport
Off Hokkaido, Japan;Military - U.S. Air Force
Susitna Valley, Alaska;Military - U.S. Air Force
Off Gozo, Malta;Military - Royal Air Force
New Delhi, India;Indian Airlines
Wright, Wyoming;Western Airlines
Near St. Etienne de Tinee, France;Military - U.S. Air Force
Kallang Airport, Singapore;British Overseas Airways
Off Mackay, Australia;Queensland Airlines
Near Lothian, Maryland;Military - U.S. Air Force
Monterrey, Mexico;Aeronaves de Mexico
Adana, Turkey;Devlet Hava Yollari
Hanoi, Vietnam;Autrex
Off Stromboli, Italy;British Overseas Airways
Moose Jaw, SK, Canada;Trans Canada Air Lines / RCAF
Santiago, Chile;LAN
Xieng Kouang, Laos;Societe Indochinoise de Raviteillement
Sierra del Vilgo, Argentina;Aerolineas Argentinas
Near Calcutta, India;Darbhanga Aviation
Paraparaumu, New Zealand;New Zealand National Airways
Cipo Mountain, Brazil;Transportes Aereos Nacionales
Near Maribor, Slovenia;Sabena
Sao Paulo, Brazil;Varig
Tourane, Vietnam;Soc. de Tr. Aériens d'Extrême Orient
Off Folkestone, England;Swissair
Near Salvador, Brazil;Military - Brazilian Air Force
Off Hainan Island, China;Cathay PacifiAirways
Near McGrath, Alaska;Alaska Airlines
Terceira Island, Azores, Portugal;AVIANCA
Vietnam;Autrex
Near Pakse, Laos;Air Vietnam (South Vietnam)
Near Mason City, Iowa;Braniff Airlines
Near Dutch Coast, North Sea;KLM Royal Dutch Airlines
Chatenoy, France;British European Airways
Near Rapid City, South Dekota;Military - U.S. Air Force
Foynes, Ireland;KLM Royal Dutch Airlines
Off Rio de Janeiro, Brazil;Cruzeiro
Cairo, Egypt;Misrair
Nar Limone Piemonte, Italy;Military - U.S. Air Force
Off Ocean City, Maryland;Military - U.S. Navy
Off the coast of Maryland;Military - U. S. Navy
Mangalore, Australia;TAA
Jirishanga,Cerro de Pasco, Peru;TAM (Brazil)
Berlin, New Hampshire;Northeast Airlines
Near Luang Pragang, Laos;Air Laos
Bratislava, Slovakia;Ceskoslovenské Aerolinie
Near Bolivar, Venezuela;Linea Aeropostal Venezolana
New York, New York;Linee Aeree Italiane
Pittsburgh, Pennsylvania;Johnson Flying Service
Prestwick, Ayrshire, Scotland;British Overseas Airways
Near Moscow, Russia;Aeroflot
Irkutsk, Russia;Aeroflot
Off Skellings, Ireland;Military -Royal Air Force
Greater Cincinnati Airport, Covington, Kentucky;Trans World Airlines / Castleton Inc.
Des Moines, Iowa;United Air Lines
Lapadrera, Colombia;Interamericana de Aviacion
Nagpur, India;Indian Airlines
Near Calabar, Nigeria;West African Airways
Rome, Italy;Sabena
Albuquerque, New Mexico;Trans World Airlines
Salisbury,  Zimbabwe;Central African Airways
Vitoria da Conquista, Brazil;REAL
Mascota, Mexico;Mexicana
Trujillo, Colombia;AVIANCA
Springfield, Mississippi;American Airlines
Oahu, Hawaii;Military - U.S. Navy
Off the Oregon coast;Pan American World Airways
Off Pensacola, Florida;Aaxico Airlines
Islip, New York;United Air Lines
Off Great Natuna Island, Sarawak;Air India
Kupe Mountains, Cameroons;Union des Transportes Aeriens
Mt. Kilimanjaro, Kenya;East African Airways
Off Barcelona, Venezuela;Linea Aeropostal Venezolana
Edmonton, Alberta, Canada;Associated Airways
Fort Lamy, Cameroon;Union Aéromaritime de Transport
Near Asuncion, Paraguay;Panair do Brasil
Leon, Mexico;Tigres Voladores
Oaxaca, Mexico;Lineas Areas Unidas
Chicago, Illinois;Braniff Airlines
Near Petrich, Bulgaria;El Al
Fort Leonard Wood, Missouri;American Airlines
Near Voronezh, Russia;Aeroflot
Near Edelweiler, West Germany;Military - U.S. Air Force / Military - U.S. Air Force
Caparao Mountain, Brazil;Cruzeiro
Simra, Nepal;Kalinga Airlines
Meikitila, Myanmar;Union of Burma Airways
Burbank, California;Currey Air Transport
Sombolabo, French Equitorial Africa;Societe France Hydro
Near Thorhild, Canada;PacifiWestern Airlines
Idris, Libya;British Overseas Airways
PacifiOcean;Flying Tiger Line
Pico Oiriruma-Vinac, Peru;Faucett
Near Centennial, Wyoming;United Air Lines
Near Wien, Austria;JAT Yugoslav Airlines
Longmont, Colorado;United Air Lines
Seattle, Washingon;Peninsular
Near Las Vegas, Nevada;Military - U.S. Air Force
Iwo Jima, Japan;Military - US Air Force
Near Ballico, California;Military - U.S. Air Force
Belem, Brazil;Cruzeiro
Hollywood, South Carolina;Riddle Airlines
Sao Paulo, Brazil;Cruzeiro Do Sud
Jacksonville, Florida;Eastern Air Lines
Frederick Henry Bay,  Australia;Ansett ANA
Oreway, Canada;Quebecair
Torysa, Czechoslovakia;Ceskoslovenske Aerolinie
Lyon, France;Air France
Frobisher Bay, Canada;Maritime Central Airways
Near Fort Chimo, Quebec, Canada;Spartan Air Services
Near Niles, California;Military - U.S. Marine Corps
Near Zurrieg, Malta;Scottish Airlines
Near Cairo, Egypt;Transport Aerien Intercontinentaux (France)
Near Aleppo, Syria;Syrian Airways
Jalkot, Pakistan;Pakistan International Airlines
Tezpur, India;Indian Airlines
Largs, England;Starways
Indapur, India;National Air Operators
Korat ,Thailand;Military - Royal Thai Air Force
Pittsburgh, Pennsylvania;Trans World Airlines
Seattle, Washington;Northwest Orient Airlines
Skilak Lake, Alaska;Cordova Airlines
Parintins, Brazil;Panair do Brasil
London, England;Scottish Airlines
Kathmandu, Nepal;Indian Airlines
Orleans, Ontario, Canada;Military - Royal Canadian Air Force
Guatemala City, Guatemala;Aviateca
Asbury Park, New Jersey;Linea Aeropostal Venezolana
Kano, Nigeria;British Overseas Airways
Grand Canyon, Arizona;United Air Lines / Trans World Airlines
Near Flat Rock, Michigan;Trans Canada Air Lines
Near Brows Mills, New Jersey;Military - U.S. Air Force
Rio Cuarto, Argentina;Aerolineas Argentinas
Thazi, Burma;Union of Burma Airways
Cold Bay, Alaska;Canadian PacifiAir Lines
Amman, Jordan;Jordan International Airlines
Bartlesville, Oklahoma;Continental Airlines
Near Nome, Alaska;Alaska Airlines
Off Land's End, England;Military - U.S. Navy
Over the PacifiOcean;Pan American World Airways
Agartala, India;Indian Airlines
Over the Mediterranean Sea;Military - Egyptian Air Force
Blackbushe, England;Britavia
Hommelfjell, Norway;Braathens
Puerto Somoza, Nicaragua;Aerovias Guest
Porto Alegre, Brazil;Varig
El Rucio Mountain, Colombia;Empresa Aviacion del Pacifico
Near Eglisau, Switzerland;Ceskoslovenske Aerolinie
Paris, France;Linee Aeree Italiane
Caracas, Venezuela;Linea Aeropostal Venezolana
Caqueta, Colombia;AIDA
Near Chilliwack, British Columbia, Canada;Trans Canada Air Lines
Dannemois, France;Air France
Grub, Germany;JAT Yugoslav Airlines
Mt. Giner, Italy;Linee Aeree Italiane
Dhahran, Saudi Arabia;Military - U.S. Air Force
Owasso, Oklahoma;American Airlines
Near Buenos Aires, Argentina;Fuerza Aérea Argentina
Ometepe Island, Nicaragua;Lanica
Paris, France;Air France
Near Sunland, California;Douglas Aircraft
New York, New York;Northeast Airlines
Kimpo Air Base, South Korea;Military - U.S. Air Force
Blyn, Washington;Alaska Airlines
Drayton, England;Military -Royal Air Force
El Soldado, Colombia;AVIANCA
Manchester, England;British European Airways
Near Cebu, Philippines;Military - Philippine Air Force
Near Sayari, Bolivia;Lloyd Aereo Boliviano
Over the North PacifiOcean;Military - U.S. Air Force
Bage, Brazil;Varig
Algiers, Algeria;Air France
Anchieta Island, Brazil;REAL
Merida, Mexico;Transportes Aéreos Mexicanos
Near El Quweira, Jordan;Military -Royal Air Force
Jirkouk, Iraq;Air France
Blackbushe, Hants, England;Eagle Aviation
Santoshpur, India;Indian Airlines
Barajas, Madrid, Spain;Aviaco
Near San Carlos de Bariloche, Argentina;Lineas Aereas del Estado
Narsarressuak, Greenland;U.S. Overseas Airways
New Delhi, India;Indian Airlines
Near Moscow, Russia;LOT Polish Airlines
Bodensee, Switzerland;Swissair
Near Clarksburg, Maryland;Capital Airlines
Port Hardy, BC, Canada;Queen Charlotte Airlines
Bay of Bengal, Pakistan;Pakistan International Airlines
Near Biak, Indonesia;KLM Royal Dutch Airlines
Daggett, California;Western Airlines
Near Issoudun, Quebec, Canada;Maritime Central Airways
Copenhagen, Denmark;Aeroflot
Assam, India;Indamer
Near Juticalpa, Honduras;Sahsa Airlines
Niquitao, Venezuela;Avensa
New Bedford, Massachusett;Northeast Airlines
Montevideo,  Uruguay;REAL
;British European Airways
Beirut, Lebanon;Lebanese International Airways
Belfast, Ireland;British European Airways
Madrid, Spain;Iberia Airlines
Near Campeche, Mexico;Transportes Aereos Mexicanos
Bristol, England;Bristol Aeroplane Co.
900 miles E of Honolulu, Hawaii, PacifiOcean;Pan American World Airways
Near Palma de Mallorca, Spain;Aviaco
Chessell Down Hants, England;Aquilla Airways
Christchurch, New Zealand;Straits Air Freight Express
Bolivar, Argentina;Aerolineas Argentinas
Jeannine Lake, Quebec, Canada;Northern Wings
Ozamis City, Philippines;Philippine Air Lines
Stansted, England;Scottish Airlines
Off Oahu, Hawaii;Military - U.S. Navy
Buenos Aires, Argentina;Aerolineas Argentinas
Belem, Brazil;Cruzeiro
Near La Paz, Bolivia;TAM (Bolivia)
Rio de Janeiro, Brazil;Loide Aéreo Nacional
New Delhi, India;Pakistan International Airlines
Norwalk, California;Military - U.S.  Air Force / Military - U.S. Navy
Munich, Germany;British European Airways
Motu Taoru, France;Réseau Aérien Interinsulaire
Off Corvo Island, Azores;Military - U.S. Navy
Horwich, Lancs, England;Silver City Airways
Off Ryukyu Islands, Okinawa;Military - U.S. Marine Corps/Military - U.S. Marine Corps
Menzalah Lake, Egypt;Misrair
Grants, New Mexico;Private
Near Kathmandu, Nepal;Indian Airlines
Miami, Florida;Braniff Airlines
Bridgeport, Texas;Military - U.S. Air Force/Military - U.S. Air Force
Quito, Ecuador;Transportes Aereos Orientales
Freeland, Michigan;Capital Airlines
Mt. Illiniza, Ecuador;AREA
Off Castell de Fels, Spain;Aviaco
Near Sloan, 10 miles SW of Las Vegas, Nevada;United Air Lines / Military - U.S. Air Force
Near Casablanca, Morocco;Sabena
Brunswick, Maryland;Capital Airlines / Military - Air National Guard
Gurgaon, India;Dan-Air Services
SW of Algiers, Algeria;Air France
Rio de Janeiro, Brazil;Paraense Transportes Aéreos
Manila, Philippines;Pan American World Airways
Near Guadalajara, Mexico;Aeronaves de Mexico
Martinsburg, West Virginia;Capital Airlines
Curitiba, Brazil;Cruzeiro
Mohanbari, India;Indian Airlines
Near Chicopee Falls, Massachusetts;Military - U.S. Air Force
Dhaka, Baangladesh;Indian Airlines
Benghazi, Libya;Central African Airways
Sakiya Saugye, Japan;All Nippon Airways
Maraso Bay, Brazil;LANSA
North AtlantiOcean, 100 miles W of Galway Bay, Ireland;KLM Royal Dutch Airlines
Nantucket, Massachusett;Northeast Airlines
Near Chita, Russia;Aeroflot
Sasnashen, Russia;Military - U.S. Air Force
London, England;Independent Air Travel
Off Guam;Military - U.S. Air Force
Campina Grande, Brazil;Loide Aereo Nacional
Near Fairchild AFB, Washington DC;Military - U.S. Air Force / U.S. Air Force
Mount Oyama, Japan;Flying Tiger Line
Triel, France;Military - U.S. Air Force
Over the Mediterranean Sea;Middle East Airlines
Payette, Idaho;Military - U.S. Air Force
Mt. Alto del Cedro, Venezuela;Linea Aeropostal Venezolana
Villa Montes, Bolivia;TAM (Bolivia)
Near Kanash, Russia;Aeroflot
Placentia Bay, Canada;Military - U.S. Navy
Anzio, Italy;British European Airways
Nipe Bay, Cuba;Cubana de Aviacion
Near Roccatamburo di Poggiodomo, Italy;Yemen Airlines
La Paz, Bolivia;TAM (Bolivia)
North AtlantiOcean;ARTOP Aerotopografica LDA
Fort Collins, Colorado;Capitol Airways
Guadarrama Mountains, Spain;Aviaco
Winkton, England;BOAC
Salisbury, Zimbabwe;Union Aeromaritime de Transport
Rio de Janeiro, Brazil;VASP
Near Tippi, Ethiopia;Ethiopian Airlines
Mt. Pena Blanca, Guatemala;Sahsa Airlines
Mt. Holston, Tennessee;Southeast Airlines
Rio de Janeiro, Brazil;Lufthansa
Panther Peak, California;California Air Freight
Off Mar del Plata, Argentina;Austral Lineas Aeras (Argentina)
Near Merida, Venezuela;Linea Expresa Bolivar
Dabouk, Jordan;Air Jordan
Brindisi, Italy;Air Charter
Kerrville, Texas;General Airways
Mason City, Iowa;Dwyer Flying Service - Private Charter
La Guardia Airport, New York, NY;American Airlines
Gatwick, Surrey, England;Turkish Airlines (THY)
Belen, Chile;Southern Cross Airways
Beirut, Lebanon;Ariana Afghan Airlines
Managua, Nicaragua;TACA
Tobu, India;Indian Airlines
Mahon, Spain;Aviaco
Near Banga, Central African Republic;Union Aeromaritime de Transport
Near Silchar, India;Indian Airlines
Alma, Georgia;Riddle Airlines
Puerto Kino, Mexico;Tigres Voladores
Van, Turkey;Air Charter
Valdemeca, Spain;Iberia Airlines
Mallorca, Spain;Austria-Flugdienst
Charleston, West Virginia;Capital Airlines
Chase, Maryland;Capital Airlines
Near Toumavista, Peru;Transportes Aereos Peruanas
Off Mar del Plata, Aregntina;Aerolineas Argentinas
Moro, Peru;Lineas Aéreas Interpolar
Nicaragua;Aerolineas Nacionales
Cerros Baco, Peru;AVIANCA
Near Varese, Lombardia, 20 miles NW of Milan, Italy;Trans World Airlines
Ishikawa City, Ryukyu Island, Okinawa;Military - U.S. Air Force
Sagone, India;Kalinga Airlines
Karachi, Pakistan;Pakistan International Airlines
Calverton, New York;American Airlines
Near Barcelona, Spain;Transair
Near Asuncion, Paraguay;Aerolineas Argentinas
Abilene, Texas;Aaxico Airlines
Poza Rica, Mexico;Mexicana
Near Tegucigalpa, Honduras;Pan American World Airways
Sao Paulo, Brazil;VASP
Bordeaux, France;T.A. Intercontinentaux (France)
Great Sitkin Island, Alaska;Reeve Aleutian Airlines
Buffalo, Texas;Braniff Airlines
Santa Maria, California;PacifiAir Lines
Athens, Greece;OlympiAirways
Waynesborough, Virginia;Piedmont Airlines
St. Cleophas, Quebec, Canada;Wheeler Airlines
Gulf of Mexico;National Airlines
Lvov, Ukraine, USSR;Aeroflot
Chicago, Illinois;Trans World Airlines
Willamsport, Pennsylvania;Allegheny Airlines
Off Cartagena, Colombia;Sociedad Aeronautica Medellin
Near Tashkent, Uzbekistan, USSR;Aeroflot
Ketchikan, Alaska;California Aircraft
Rome, Italy;Alitalia
Rid de Janeiro, Brazil;VASP
Palembang, Indonesia;Garuda Indonesia Airlines
Near San Jose de Chiquitos, Bolivia;Lloyd Aereo Boliviano
Taksing, India;Indian Airlines
Wilmington/Bolivia, North Carolina;National Airlines
Gulf of Sirte;Military - U.S. Army
Charles City, Virginia;Capital Airlines
Ankara, Turkey;Scandinavian Airlines (SAS)
Near Semipalatinsk, USSR;Aeroflot
Montego Bay, Jamacia;AVIANCA
Off Bathurst Island, Australia;Transportes Aéreos de Timor
Laguna de Huana-Costa , Boliva;Lloyd Aereo Boliviano
Rio de Janeiro, Brazil;REAL / Military - U.S. Navy
Shannon, Ireland;Alitalia
Lvov, Ukraine, USSR;Aeroflot
El Refugio, Colombia;Agencia Interamericana de Aviada
Near Tokyo, Japan;All Nippon Airways
Near Cannelton, 10 mile SE of Tell City, Indiana;Northwest Orient Airlines
Cordoba, Colombia;SAMSA
Siuna, Nicaragua;Lanica
Pelotas, Brazil;Cruzeiro
Taipei ,Taiwan;Military - Royal Thai Air Force
Stephenville, Newfoundland;Military - U.S. Air Force
Bogota, Colombia;Lloyd Aereo Colombiano
Hickory, North Carolina;Piedmont Airlines / Private
Bunia, Belgian Congo;Sobelair SA (Belgium)
Near Calabozo, Venezuela;Linea Aeropostal Venezolana
Jebel Marra, Sudan;Balair
Near Salto, Uruguay;Aerolineas Argentinas
El Sosneado, Argentina;Transamerican Air Transport
Atlanta, Georgia;Delta Air Lines
Off  Mackay, Qld. Australia;Trans Australia Airlines
Mt. Gilbert, Alaska;PacifiNorthern Airlines
Rio de Janeiro, Brazil;REAL
Off Barnegat City, New Jersey;Military - U.S. Navy
Persian Gulf;Gulf Aviation (Kalinga Airways)
Near Quito, Ecuador;Military - U.S. Air Force
Off Manila, Philippines;Northwest Orient Airlines
Near Jima, Ethiopia;Ethiopian Airlines
Near Goma, Zaire;Military - Royal Belgian Air Force
Forest Park, Illinois;Chicago Helicopter Airways
Near Rimini, Italy;Deutsche Flugdienst
Near Tipuani, Bolivia;TAM (Bolivia)
Kiev, Ukraine, USSR;Aeroflot
Near El Kelaa, Morocco;Military - French Naval Aviation
Off Heraklion, Greece;Don Everall Aviation
Off Dakar, Senegal;Air France
Agana, Guam, Mariana Islands;World Airways
Off Naha, Okinawa;Military - U.S. Marine Corps
Moscow, Russia;Austrian Airlines
Near Juchetipec, Mexico;Mexicana
Off Elba, Italy;United Arab Airlines
Boston, Massachusett;Eastern Air Lines
Elba, Italy;Itavia
Plain City, Utah;Capitol Airways
Ust-Orda, Russia;Aeroflot
Near Missoula, Montana;Northwest Orient Airlines
Toledo, Ohio;ArctiPacific
Bhairawa, Nepal;Royal Nepal Airlines
Near Quito, Ecuador;AREA
Manila, Philippines;Philippine Air Lines
Cachimbo, Brazil;REAL
San Andres de Giles, Argentina;Military - Argentine Air Force
Llico, Chile;LAN
Stah, Algeria;Air France
Near Tacoma, Washington;Military - U.S. Air Force
Staten Island / Brooklyn, New York;United Air Lines / Trans World Airlines
Munich, West Germany;Military - U.S. Air Force
Cebu City, Philippines;Philippine Air Lines
Ruzyne, Czechoslovakia;Ceskoslovenske Aerolinie
Koivulahti, Finland;Finnair
New York, New York (Idlewild);Aeronaves de Mexico
Midway Island Naval Air Station;Military - U.S. Navy
Mt. Burangrang, Indonesia;Garuda Indonesia Airlines
Off Argentia, Azores;Military - U.S. Air Force
Off Montauk Point, New York;American Airlines
Off Surabaya, Indonesia;Garuda Indonesia Airlines
Near Brussels, Belgium;Sabena
Near Caracas, Venezuela;Linea Aeropostal Venezolana
Near Natal, Brazil;Military - Brazilian Air Force
Russelbach, East Germany;Ceskoslovenske Aerolinie
Singapore;Military - Royal Air Force
Near Lisbon, Portugal;KLM Royal Dutch Airlines
Cairo, Egypt;KLM Royal Dutch Airlines
Near Kano, Nigeria;Continentale Deutsche Luftreederei
Buenos Aires, Argentina;Transcontinental
Odessa, Ukraine, USSR;Aeroflot
Denver, Colorado;United Air Lines
Casablanca, Morocco;Ceskoslovenske Aerolinie
Near Azul, Argentina;Aerolineas Argentinas
Shemya, Alaska;Alaska Airlines
Budapest, Hungary;Malev Hungarian Airlines
Sola, Norway;Cunard Eagle Airways
Near Pha Khao, Laos;Air America
Sondreströmfjord, Greenland;Eastern Provincial Airways
Near Hinsdale, Illinois;Trans World Airlines
Near Sendafar, Ethiopia;Ethiopian Airlines
Cerro del Aernal, Costa Rica;Lineas Aéreas Costarricenses
Surabaya, Indonesia;Garuda Indonesia Airlines
Shannon, Ireland;President Airlines
Near Rabat, Morrocco;Air France
Ndola, Zambia;United Nations Organization
Chicago, Illinois;Northwest Orient Airlines
Ankara, Turkey;Turkish Airlines (THY)
Mt. Canigou, France;Derby Aviation
El Adem, Libya;Military - Royal Air Force
Les Prevosts, Guernsey;Bristol 170 Freighter 31M
Near Recife, Brazil;Panair do Brasil
Near Richmond, Virginia;Imperial Airways
Off Puerto Rico;Air Haiti International
Campinas, Brazil;Aerolineas Argentinas
Sao Tomé;Military - Força Aérea Portuguesa
Sydney, NSW, Australia;Ansett ANA
Mainz, Germany;Lufthansa
Chievres, Belgium;Military - Belgian Air Force
Managua, Nicaragua;Lanica
Ankara, Turkey;British European Airways
Old Harbor, Kodiak Island, Alaska;Kodiak Airways
Caranavi ,Bolivia;Corporacion Boliviano de Fomento
Batataevka, USSR;Aeroflot
Near Tino Maria, Peru;Faucett
Portlamar, Margarita Island, Venezuela;Avensa
Municipio de Marulanda, Colombia;Avianca
Jamaica Bay, New York, New York;American Airlines
Douala, Cameroon;Caledonian Airways
Near Seymour, South Africa;South African Airways
Mt. Medetsiz, Turkey;Turkish Airlines (THY)
Rome, Italy;Societa Aerea Mediterranea
Near Alencon, France;Military - U.S. Air Force
Adak, Alaska;Flying Tiger Line
Western PacifiOcean, Philippine Sea;Flying Tiger Line
Algeria;Military - French Air Force
Santiago de Cuba, Cuba;Cubana de Aviacion
Near Villavicencio, Colombia;Military - Colombian Air Force
Serrania del Baudo, Colombia;AVISPA
Near Camona, Spain;Iberia Airlines
Near Portsmouth, England;East Anglian Flying Services
Near Mong Pa Liao, Burma;Military - Union of Burma Air Force
Vitoria, Brazil;Cruzeiro
Godthaab, Greenland;East Provincial Airways
Near Cairo, Egypt;United Arab Airlines
Near Nairobi, Kenya;Military - U.S. Air Force
Near Markt Schwaben, West Germany;Military - U.S. Navy
Near Unionville, Missouri;Continental Airlines
Villeneuve-le-Roi, Val-de-Marne, France;Air France
Sofia, Bulgaria;Aeroflot
Basse-Terre, Guadaloupe, West Indies;Air France
Near Adler, Russia;Aeroflot
Near Krasnoyarsk, USSR;Aeroflot
Near Tashkent, Uzbekistan, USSR;Aeroflot
Near Junnar, Maharashtra, India;Alitalia
Off Brindisi, Italy;Trans Mediterranean Airways
Near Lahore, Pakistan;Indian Airlines
Loheshyphn, India;Kalinga Airlines
Near Bangkok, Thailand;United Arab Airlines
Honolulu, Hawaii;Canadian PacifiAir Lines
Sochi, Russia;Aeroflot
Coulommiers, France;Air France
Near Kathmandu, Nepal;Royal Nepal Airlines
Rio de Janerio, Brazil;Panair do Brazil
Berranca Bermeja, Colombia;Taxader Airlines
Cerro Puena Paz, Peru;Faucett
Near Khabarovsk, USSR;Aeroflot
Yanoyaki, Japan;Military - Japan Maritime Self Defense Force
Near Lake Milton, Ohio;Private - Ashland Oil Company
Brno, Czechoslovakia;Ceskoslovenske Aerolinie
Near Milan, Washington;Military - U.S. Air Force
Near Alcoche, Bolivia;Aerolineas Abaroa
Sela, India;Kalinga Airlines
North AtlantiOcean;Flying Tiger Line
Spt-Îles, Quebec, Canada;Trans Canada Air Lines
Manila, Philippines;Philippine Air Lines
Acapulco, Mexico;Avionas  Banamex
Windsor Locks, Connecticut;Allegheny Airlines
Near Moscow, Russia;Aeroflot
Near Tourane, South Vietnam;Air Vietnam (South Vietnam)
Near Nagoya, Japan;All Nippon Airways
Ellicott, Maryland;United Air Lines
Sao Tomé & Principe;Military - Portuguese Air Force
Le Bourget, France;Malev Hungarian Airlines
Paraibuna, Brazil;VASP / Private
Lima, Peru;Varig
New York, New York;Eastern Air Lines
Barranca Bermeja, Colombia;Taxader Airlines
Near Manaus, Brazil;Panair do Brasil
Burbank, California;Flying Tiger Line
Warsaw, Poland;LOT Polish Airlines
Kadena AB, Okinawa;Military - U.S. Air Force
Near Brasilia, Brazil;Varig
Rotterdam, The Netherlands;Carvair ATL-98
Monte Renosa, Corsica, France;Air Nautic
Grand Isle, Louisana;Commercial Air Taxi
Barter Island, Alaska;Wien Alaska Airlines
Sao Paulo, Brazil;Cruzeiro
Great Salt Lake, Utah;West Coast Airlines
Kotzebue, Alaska;Skyvan Airways
Kansas City, Missouri;Continental Airlines
Off Patuxent River, Maryland;Military - U.S. Navy
Ankara, Turkey;Middle East Airlines / Military - Turkish Air ForceC-47
San Francisco, California;Slick Airways
Syktyvkar ,Russia;Aeroflot
Near Miami, Florida;Northwest Orient Airlines
Boston, Massachusetts;Eastern Air Lines
Near Davao City, Philippines;Philippine Air Lines
Camden, Tennesee;Private
Near Karai, Iran;Middle East Airlines
Near Charana, Bolivia;Lloyd Aereo Boliviano
Monte Matto, Italy;Saudi Arabian Royal Flight
Misaki Mountain, Japan;Military - Japan Air Self Defense Force
Angelholm, Sweden;Linjefyg
Near Sora, Italy;Itavia
Oslo, Norway;Icelandair
Near Buca, Cameroon;Air Afrique
Sao Paulo, Brazil;Cruzeiro
Near Ayayda, Egypt;United Arab Airlines
PacifiOcean, 116 miles WSW of Annette Island, Alaska;Northwest Orient Airlines
Sama, India;Indian Airlines
Yunnan, Burma;Union of Burma Airways
Bekkessamson, Romainia;Tarom
Near Aysen, Chile;Military - Chilean Air Force
Nar Augustdorf, West Germany;Military - Royal Belgian Air Force
Detmold, Germany;Military - Belgian Air Force
Passo Fundo, Brazil;Varig
