Location;Operator
Spur, Texas;Sunbeam Air Transport Co.
Brazil;Syndicato Condor
Rio de Janeiro, Brazil;
Letzlingen, Germany;Deutsche Lufthansa
Huron, Ohio;National Air Transport
Chattanooga, Tennessee;Interstate Airlines
Reims, France;CIDNA
Stafford Springs, Connecticut;Colonial Air Transport
Cove, Oregon;Varney Air Lines
Near Corfu, Greece;Aeroespresso
Morgantown, West Virginia;Skyline Transportation Company
Off Morocco;Aeropostale
Newark, New Jersey;Colonial Western Airlines
Near Beaumont, California;New Standard Airlines
San Diego, California;Maddux Airlines / Military - U.S.Army Air Force
Hungary;MALERT
Algiers;Aeropostale
Santiago de Cuba, Cuba;Pan American Airways
Barcelona, Spain;Aeropostale
Off Dungeness, England;Imperial Airways
St. Paul, Minnesota;Northwest Orient Airlines
Lake Constance, Switzerland;Aero Lloyd
Columbus, Ohio;Continental Air Lines
Clovis, New Mexico;Middle States Airlines
Perpignan, France;Aeropostale
Sochi, Russia;Ukvozduchput
Elm, Germany;Deutsche Lufthansa
Needles, California;Associated Aviators
Mt. Taylor, New Mexico;Trans Continental Air Transport
Jask, Iran;Imperial Airways
Off Larache, Morocco;Aeropostale
Jacumba, California;Pickwick Airways
Mt Lamentation, Connecticut;Colonial Air Transport
Off Spezia, Italy;Imperial Airways
Mount Vernon, Ohio;Continental Air Lines
Off Bremerton, Washington;Bremerton-Seattle Air Taxi / Gorst Air Lines
Cerro del Carbon, Mexico;Corp. Aeronautica de Transportes
Near Godstone, Surrey, England;Deutsche Lufthansa
Off Corsica, France;Air Union
Vancouver, Washington;Varney Air Lines
Chagrin Falls, Ohio;National Air Transport
Mediterranean Sea;Aeropostale
Near Berlin, Germany;Deutsche Lufthansa
Amarillo, Texas;Trans Continental Air Transport
Brawnson, Nebraska;Boeing Air Transport
Antananarivo, Madagascar;Air Orient
Oceanside, California;Maddux Airlines
Off Ceuta, Spain;Aeropostale
Kansas City, Kansas;Central  Airlines
Hartford, Connecticut;Colonial Air Transport
Marden, England;Air Union
Jersey City, New Jersey;Canadian Colonial Airways
Buenos Aires;Aeropostale
Boston, Massachusetts;Colonial Air Transport
Bornholm, Denmark;Deutsche Lufthansa
Arkansas Pass, Texas;Cross Airways
Iglau, Czechoslovakia;Ceskoslovenske Aerolinie
Croydon, England;Sabena
Southesk, Saskatchewan, Canada;Western Canada Airways
Near Beauvais, France;Military - British Air Ministry
Dresden, Germany;Deutsche Lufthansa
La Rache, Morocco;Aeropostale
Prince Rupert, BC, Canada;Alaska-Washington Airways
Near Neufchatel, France;Imperial Airways
Brookston, Indiana;Embry Riddle Company
Off of Santos, Brazil;Syndicato Condor
Techachapi Mountains, California;PacifiAir Transport
Shanghai, China;China National Aviation Corporation
Melle, Belgium;Sabena
Bluff Mountain, Washington;Varney Air Lines
Wairoa, New Zealand;Dominion Air Lines
Bagot, Manitoba, Canada;Western Canada Airways
Off Spain;Aeropostale
New South Wales, Australia;Australian National Airways
Bazaar, Kansas;Trans Continental and Western Air
Near Letschen, Germany;Deutsche Lufthansa
